Player,Pts
ishan kishan,217
devdutt padikkal,210
virat kohli,181
jacob duffy,126
aniket verma,113
heinrich klaasen,89
rajat patidar,85
romario shepherd,60
phil salt,57
david payne,48
jaydev unadkat,41
bhuvneshwar kumar,39
tim david,32
harsh dubey,28
suyash sharma,25
abhinandan singh,22
salil arora,18
travis head,17
abhishek sharma,10
kulwant khejroliya,0
dasun shanaka,0
spencer johnson,0
saurabh dubey,0
navdeep saini,0
blessing muzarabani,0
praful hinge,0
krains fuletra,0
amit kumar,0
sakib hussain,0
shivam mavi,0
jack edwards,0
liam livingstone,0
zeeshan ansari,0
pat cummins,0
kamindu mendis,0
brydon carse,0
rasikh salam,0
satvik deswal,0
vihaan malhotra,0
kanishk chouhan,0
mangesh yadav,0
vicky ostwal,0
jordan cox,0
venkatesh iyer,0
yash dayal,0
swapnil singh,0
nuwan thushara,0
josh hazlewood,0
jacob bethell,0
brijesh sharma,0
ravi singh,0
aman rao,0
yash raj punja,0
lhuan-dre pretorius,0
yudhvir singh,0
yashasvi jaiswal,0
vignesh puthur,0
kuldeep sen,0
sushant mishra,0
adam milne,0
ravi bishnoi,0
vaibhav suryavanshi,0
tushar deshpande,0
shubham dubey,0
shimron hetmyer,0
sandeep sharma,0
sam curran,0
riyan parag,0
ravindra jadeja,0
nandre burger,0
kwena maphaka,0
jofra archer,0
donovan ferreira,0
dhruv jurel,0
harnoor singh,0
vijaykumar vyshak,0
praveen dubey,0
vishal nishad,0
cooper connolly,0
ben dwarshuis,0
yuzvendra chahal,0
yash thakur,0
xavier bartlett,0
vishnu vinod,0
suryansh shedge,0
shreyas iyer,0
shashank singh,0
pyla avinash,0
priyansh arya,0
prabhsimran singh,0
nehal wadhera,0
musheer khan,0
mitchell owen,0
marcus stoinis,0
marco jansen,0
lockie ferguson,0
harpreet brar,0
azmatullah omarzai,0
arshdeep singh,0
danish malewar,0
mohammed izhar,0
atharva ankolekar,0
mayank rawat,0
raj bawa,0
am ghazanfar,0
tilak varma,0
quinton de kock,0
will jacks,0
trent boult,0
suryakumar yadav,0
sherfane rutherford,0
shardul thakur,0
ryan rickelton,0
rohit sharma,0
robin minz,0
raghu sharma,0
naman dhir,0
mitchell santner,0
mayank markande,0
jasprit bumrah,0
hardik pandya,0
deepak chahar,0
corbin bosch,0
ashwani kumar,0
mukul choudhary,0
akshat raghuwanshi,0
naman tiwari,0
wanindu hasaranga,0
anrich nortje,0
josh inglis,0
shahbaz ahmed,0
rishabh pant,0
prince yadav,0
nicholas pooran,0
mohsin khan,0
mitchell marsh,0
mohammed shami,0
mayank yadav,0
matthew breetzke,0
manimaran siddharth,0
himmat singh,0
digvesh rathi,0
ayush badoni,0
avesh khan,0
arshin kulkarni,0
arjun tendulkar,0
akash singh,0
aiden markram,0
abdul samad,0
sarthak ranjan,0
daksh kamra,0
tejas singh,0
kartik tyagi,0
prashant solanki,0
rahul tripathi,0
akash deep,0
tim seifert,0
finn allen,0
rachin ravindra,0
mustafizur rahman,0
matheesha pathirana,0
cameron green,0
varun chakravarthy,0
vaibhav arora,0
umran malik,0
sunil narine,0
rovman powell,0
rinku singh,0
ramandeep singh,0
manish pandey,0
harshit rana,0
anukul roy,0
angkrish raghuvanshi,0
ajinkya rahane,0
prithvi raj,0
sai kishore,0
arshad khan,0
mohammed siraj,0
gurnoor brar,0
luke wood,0
ashok sharma,0
tom banton,0
jason holder,0
washington sundar,0
shubman gill,0
shahrukh khan,0
sai sudharsan,0
rashid khan,0
rahul tewatia,0
prasidh krishna,0
nishant sindhu,0
manav suthar,0
kumar kushagra,0
kagiso rabada,0
jos buttler,0
jayant yadav,0
ishant sharma,0
glenn phillips,0
anuj rawat,0
auqib nabi,0
abishek porel,0
sahil parakh,0
prithvi shaw,0
david miller,0
ben duckett,0
lungi ngidi,0
kyle jamieson,0
pathum nissanka,0
vipraj nigam,0
tristan stubbs,0
tripurana vijay,0
t natarajan,0
sameer rizvi,0
nitish rana,0
mukesh kumar,0
mitchell starc,0
madhav tiwari,0
kuldeep yadav,0
kl rahul,0
karun nair,0
dushmantha chameera,0
axar patel,0
ashutosh sharma,0
ajay mandal,0
kartik sharma,0
prashant veer,0
zakary foulkes,0
aman hakim khan,0
khaleel ahmed,0
sarfaraz khan,0
matthew short,0
akeal hosein,0
matt henry,0
rahul chahar,0
urvil patel,0
dewald brevis,0
ayush mhatre,0
shreyas gopal,0
shivam dube,0
ruturaj gaikwad,0
sanju samson,0
ramakrishna ghosh,0
noor ahmad,0
nathan ellis,0
mukesh choudhary,0
jamie overton,0
gurjapneet singh,0
anshul kamboj,0
ms dhoni,0
nitish kumar reddy,-1
jitesh sharma,-5
krunal pandya,-16
eshan malinga,-29
harshal patel,-45
