Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Royal Challengers Bengaluru,13,9,4,0,0,18,1.065,LLWWW,vs SRH,2442/234.2,2364/252.4
Gujarat Titans,13,8,5,0,0,16,0.400,WWWWL,vs CSK,2329/250.4,2294/258.0
Sunrisers Hyderabad,12,7,5,0,0,14,0.331,WWLWL,"vs CSK, RCB",2418/237.1,2295/232.4
Punjab Kings,13,6,6,0,1,13,0.227,LLLLL,vs LSG,2511/232.0,2522/238.0
Chennai Super Kings,12,6,6,0,0,12,0.027,LWWWL,"vs SRH, GT",2210/235.0,2102/224.1
Rajasthan Royals,12,6,6,0,0,12,0.027,LWLLL,"vs LSG, MI",2189/220.3,2254/227.4
Delhi Capitals,13,6,7,0,0,12,-0.871,WLLWW,vs KKR,2356/252.4,2418/237.1
Kolkata Knight Riders,12,5,6,0,1,11,-0.038,WWWLW,"vs MI, DC",1973/212.2,2034/218.0
Mumbai Indians,12,4,8,0,0,8,-0.504,LLWLW,"vs KKR, RR",2231/228.4,2283/222.3
Lucknow Super Giants,12,4,8,0,0,8,-0.701,LLWLW,"vs RR, PBKS",2098/235.3,2191/228.0
