Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Punjab Kings,5,4,0,0,1,9,1.067,WWNRWW,"vs LSG, DC, RR",796/73.1,785/80.0
Royal Challengers Bengaluru,6,4,2,0,0,8,1.171,WLWWL,"vs GT, DC, GT",1218/110.5,1157/117.5
Rajasthan Royals,5,4,1,0,0,8,0.889,WWWWL,"vs KKR, LSG, SRH",849/81.1,871/91.0
Sunrisers Hyderabad,6,3,3,0,0,6,0.566,WLLWW,"vs DC, RR, MI",1212/120.0,1090/114.2
Delhi Capitals,5,3,2,0,0,6,0.310,WWLLW,"vs SRH, PBKS, RCB",886/95.1,900/100.0
Gujarat Titans,5,3,2,0,0,6,0.018,LLWWW,"vs MI, RCB, CSK",922/98.2,928/99.1
Chennai Super Kings,6,2,4,0,0,4,-0.780,LLWWL,"vs MI, GT, MI",1131/120.0,1131/110.5
Lucknow Super Giants,5,2,3,0,0,4,-0.804,LWWLL,"vs PBKS, RR, KKR",793/99.5,796/91.0
Mumbai Indians,5,1,4,0,0,2,-1.076,WLLLL,"vs GT, CSK, SRH",926/90.1,972/85.4
Kolkata Knight Riders,6,0,5,0,1,1,-1.149,LNRLLL,"vs RR, LSG, SRH",902/100.0,1005/98.5
