Teams,M,W,L,N/R,PTS,NRR,Series Form,Next,For,Against,Unnamed: 11
Royal Challengers Bengaluru,14,9,5,0,18,0.783,LWWWL,-,2642/254.2,2619/272.4,
Gujarat Titans,14,9,5,0,18,0.695,WWWLW,-,2558/270.4,2434/278.0,
Sunrisers Hyderabad,14,9,5,0,18,0.524,LWLWW,-,2854/276.1,2675/272.4,
Punjab Kings,14,7,6,1,15,0.309,LLLLW,-,2711/250.0,2718/258.0,
Rajasthan Royals,13,7,6,0,14,0.083,WLLLW,vs MI,2414/239.4,2474/247.4,
Kolkata Knight Riders,13,6,6,1,13,0.011,WWLWW,vs DC,2121/231.1,2181/238.0,
Chennai Super Kings,14,6,8,0,12,-0.345,WWLLL,-,2530/275.0,2512/263.1,
Delhi Capitals,13,6,7,0,12,-0.871,WLLWW,vs KKR,2356/252.4,2418/237.1,
Mumbai Indians,13,4,9,0,8,-0.510,LWLWL,vs RR,2378/248.4,2431/241.2,
Lucknow Super Giants,14,4,10,0,8,-0.740,WLWLL,-,2514/275.3,2616/265.1,
