Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Punjab Kings,7,6,0,0,1,13,1.333,NRWWWW,"vs RR, GT, SRH",1315/112.0,1249/120.0
Royal Challengers Bengaluru,7,5,2,0,0,10,1.101,LWWLW,"vs DC, GT, LSG",1424/129.4,1362/137.5
Sunrisers Hyderabad,8,5,3,0,0,10,0.815,LWWWW,"vs MI, KKR, PBKS",1683/158.3,1513/154.2
Rajasthan Royals,8,5,3,0,0,10,0.602,WLLWL,"vs PBKS, DC, GT",1391/141.1,1380/149.1
Chennai Super Kings,7,3,4,0,0,6,0.118,LWWLW,"vs GT, MI, DC",1338/140.0,1235/130.5
Delhi Capitals,7,3,4,0,0,6,-0.184,LLWLL,"vs RCB, RR, CSK",1345/135.1,1407/138.5
Gujarat Titans,7,3,4,0,0,6,-0.790,WWWLL,"vs CSK, RCB, PBKS",1227/138.2,1333/138.0
Mumbai Indians,7,2,5,0,0,4,-0.736,LLLWL,"vs SRH, CSK, LSG",1229/130.1,1279/125.4
Lucknow Super Giants,7,2,5,0,0,4,-1.277,WLLLL,"vs KKR, MI, RCB",1112/139.5,1209/131.0
Kolkata Knight Riders,7,1,5,0,1,3,-0.879,NRLLLW,"vs LSG, SRH, DC",1063/119.4,1160/118.5
