Teams,M,W,L,N/R,PTS,NRR,Series Form,Next,For,Against,Unnamed: 11
Royal Challengers Bengaluru,13,9,4,0,18,1.065,LLWWW,vs SRH,2442/234.2,2364/252.4,
Gujarat Titans,14,9,5,0,18,0.695,WWWLW,-,2558/270.4,2434/278.0,
Sunrisers Hyderabad,13,8,5,0,16,0.350,WLWLW,vs RCB,2599/256.1,2475/252.4,
Rajasthan Royals,13,7,6,0,14,0.083,WLLLW,vs MI,2414/239.4,2474/247.4,
Punjab Kings,13,6,6,1,13,0.227,LLLLL,vs LSG,2511/232.0,2522/238.0,
Kolkata Knight Riders,13,6,6,1,13,0.011,WWLWW,vs DC,2121/231.1,2181/238.0,
Chennai Super Kings,14,6,8,0,12,-0.345,WWLLL,-,2530/275.0,2512/263.1,
Delhi Capitals,13,6,7,0,12,-0.871,WLLWW,vs KKR,2356/252.4,2418/237.1,
Mumbai Indians,13,4,9,0,8,-0.510,LWLWL,vs RR,2378/248.4,2431/241.2,
Lucknow Super Giants,13,4,9,0,8,-0.702,LWLWL,vs PBKS,2318/255.3,2416/247.1,
