Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Punjab Kings,6,5,0,0,1,11,1.420,WNRWWW,"vs DC, RR, GT",1050/93.1,985/100.0
Royal Challengers Bengaluru,7,5,2,0,0,10,1.101,LWWLW,"vs DC, GT, LSG",1424/129.4,1362/137.5
Rajasthan Royals,7,5,2,0,0,10,0.790,WWLLW,"vs SRH, PBKS, DC",1163/121.1,1151/130.4
Sunrisers Hyderabad,7,4,3,0,0,8,0.820,LLWWW,"vs RR, MI, KKR",1454/140.0,1285/134.2
Chennai Super Kings,7,3,4,0,0,6,0.118,LWWLW,"vs GT, MI, DC",1338/140.0,1235/130.5
Delhi Capitals,6,3,3,0,0,6,-0.130,WLLWL,"vs PBKS, RCB, RR",1081/115.1,1142/120.0
Gujarat Titans,7,3,4,0,0,6,-0.790,WWWLL,"vs CSK, RCB, PBKS",1227/138.2,1333/138.0
Mumbai Indians,7,2,5,0,0,4,-0.736,LLLWL,"vs SRH, CSK, LSG",1229/130.1,1279/125.4
Lucknow Super Giants,7,2,5,0,0,4,-1.277,WLLLL,"vs KKR, MI, RCB",1112/139.5,1209/131.0
Kolkata Knight Riders,7,1,5,0,1,3,-0.879,NRLLLW,"vs LSG, SRH, DC",1063/119.4,1160/118.5
